"slug","land","name"
"Aleksandrow Kujawski","KP","Aleksandrów Kujawski"
"Aleksandrow_Lodzki","LD","Aleksandrów Łódzki"
"Alwernia","MP","Alwernia"
"Andrychow","MP","Andrychów"
"Annopol","LUBE","Annopol"
"Augustow","PODL","Augustów"
"Babimost","LUBU","Babimost"
"Baranow Sandomierski","PODK","Baranów Sandomierski"
"Barcin","KP","Barcin"
"Barczewo","WM","Barczewo"
"Bardo","DS","Bardo"
"Barlinek","ZA","Barlinek"
"Bartoszyce","WM","Bartoszyce"
"Barwice","ZA","Barwice"
"Bedzin","POM","Będzin"
"Belchatow","LD","Bełchatów"
"Belzyce","LUBE","Bełżyce"
"Biala_Piska","WM","Biała Piska"
"Biala_Podlaska","LUBE","Biała Podlaska"
"Biala_Rawska","LD","Biała Rawska"
"Bialobrzegi","MA","Białobrzegi"
"Bialystok","PODL","Białystok"
"Białogard","ZA","Bialogard"
"Biały Bór","ZA","Bialy_Bor"
"Biecz","MP","Biecz"
"Bielawa","DS","Bielawa"
"Bielsk Podlaski","PODL","Bielsk Podlaski"
"Bielsko-Biala","POM","Bielsko-Biała"
"Bierun","POM","Bieruń"
"Bierutow","DS","Bierutów"
"Biezun","MA","Bieżuń"
"Bilgoraj","LUBE","Biłgoraj"
"Biskupiec","WM","Biskupiec"
"Bisztynek","WM","Bisztynek"
"Blachownia","POM","Blachownia"
"Blaszki","LD","Błaszki"
"Blazowa","PODK","Błażowa"
"Blonie","MA","Błonie"
"Bobolice","ZA","Bobolice"
"Bobowa","MP","Bobowa"
"Bochnia","MP","Bochnia"
"Bogatynia","DS","Bogatynia"
"Boguchwala","PODK","Boguchwała"
"Boguszow-Gorce","DS","Boguszów-Gorce"
"Bojanowo","WI","Bojanowo"
"Boleslawiec","DS","Bolesławiec"
"Bolkow","DS","Bolków"
"Borek Wielkopolski","WI","Borek_Wielkopolski"
"Borne Sulinowo","ZA","Borne_Sulinowo"
"Braniewo","WM","Braniewo"
"Bransk","PODL","Brańsk"
"Brodnica","KP","Brodnica"
"Brok","MA","Brok"
"Brusy","POM","Brusy"
"Brwinow","MA","Brwinów"
"Brzeg_Dolny","DS","Brzeg Dolny"
"Brzesc Kujawski","KP","Brześć Kujawski"
"Brzesko","MP","Brzesko"
"Brzeszcze","MP","Brzeszcze"
"Brzeziny","LD","Brzeziny"
"Brzostek","PODK","Brzostek"
"Brzozow","PODK","Brzozów"
"Buk","WI","Buk"
"Bukowno","MP","Bukowno"
"Bychawa","LUBE","Bychawa"
"Bydgoszcz","KP","Bydgoszcz"
"Bystrzyca_Klodzka","DS","Bystrzyca Kłodzka"
"Bytom","POM","Bytom"
"Bytom_Odrzanski","LUBU","Bytom Odrzański"
"Bytow","POM","Bytów"
"Cedynia","ZA","Cedynia"
"Checiny","SW","Chęciny"
"Chelm","LUBE","Chełm"
"Chelmek","MP","Chełmek"
"Chelmno","KP","Chełmno"
"Chelmza","KP","Chełmża"
"Chocianow","DS","Chocianów"
"Chociwel","ZA","Chociwel"
"Chocz","WI","Chocz"
"Chodecz","KP","Chodecz"
"Chodzież","WI","Chodziez"
"Chojna","ZA","Chojna"
"Chojnice","POM","Chojnice"
"Chojnow","DS","Chojnów"
"Choroszcz","PODL","Choroszcz"
"Chorzele","MA","Chorzele"
"Chorzow","POM","Chorzów"
"Choszczno","ZA","Choszczno"
"Chrzanow","MP","Chrzanów"
"Ciechanow","MA","Ciechanów"
"Ciechanowiec","PODL","Ciechanowiec"
"Ciechocinek","KP","Ciechocinek"
"Cieszanow","PODK","Cieszanów"
"Cieszyn","POM","Cieszyn"
"Ciezkowice","MP","Ciężkowice"
"Cmielow","SW","Ćmielów"
"Cybinka","LUBU","Cybinka"
"Czaplinek","ZA","Czaplinek"
"Czarna Bialostocka","PODL","Czarna Białostocka"
"Czarna_Woda","POM","Czarna Woda"
"Czarne","POM","Czarne"
"Czarnków","WI","Czarnkow"
"Czchow","MP","Czchów"
"Czechowice-Dziedzice","POM","Czechowice-Dziedzice"
"Czeladz","POM","Czeladź"
"Czempiń","WI","Czempin"
"Czerniejewo","WI","Czerniejewo"
"Czersk","POM","Czersk"
"Czerwiensk","LUBU","Czerwieńsk"
"Czerwionka-Leszczyny","POM","Czerwionka-Leszczyny"
"Czestochowa","POM","Częstochowa"
"Czluchow","POM","Człuchów"
"Czyzew","PODL","Czyżew"
"Człopa","ZA","Czlopa"
"Dąbie","WI","Dabie"
"Dabrowa Bialostocka","PODL","Dąbrowa Białostocka"
"Dabrowa Gornicza","POM","Dąbrowa Górnicza"
"Dabrowa Tarnowska","MP","Dąbrowa Tarnowska"
"Darłowo","ZA","Darlowo"
"Debica","PODK","Dębica"
"Deblin","LUBE","Dęblin"
"Dębno","ZA","Debno"
"Debrzno","POM","Debrzno"
"Dobczyce","MP","Dobczyce"
"Dobiegniew","LUBU","Dobiegniew"
